N;zona;individuo;SEXO;SVL;HLEN;FEML;TIBL;FOOT;HUML;RDL;HNDL;LJW;HWID;IOD;IND;ENOS;SED;NMD;EYE;DISEÑO DORSAL;
1;Sur;CBF-0457;H;55,44;17,98;19,52;21,58;35,4;19,54;11,02;13,06;18,64;21,62;5,94;3,24;3,6;7,38;4,4;4,6;PUNTOS;
2;Sur;CBF-0468;H;64,68;11,78;23,72;23,3;36,24;20,9;11,1;13,58;20,36;24,86;7,3;3,5;4,1;7,76;4,12;6,4;PUNTOS;
3;Sur;CBF-0469;H;61,78;16,3;24,02;23,04;35,94;23,56;12,14;14,44;20,3;23,3;6,2;3,22;3,62;8,04;4,76;5,4;PUNTOS;
4;Sur;CBF-0470;M;54,72;16,76;24,8;23,28;36,58;23,72;11,48;13,1;18,68;20,84;6,36;3,38;3,24;6,54;4,22;5,5;PUNTOS;
5;Sur;CBF-0477;M;58,2;16,76;22,28;25,4;36,32;24,74;13,02;13,52;20,4;20,6;6,58;3,38;3,34;7,2;4,62;5,8;PUNTOS;
6;Sur;CBF-0478;M;54,6;15,4;23,16;23,58;36,5;22,8;11,44;13,06;19,02;21,28;6,48;3,26;3,38;6,38;4,76;5,3;PUNTOS;
7;Sur;CBF-0486;H;64,12;18,92;29,26;26,92;26,1;24,62;14,88;14,92;22,78;25,46;7,52;4,3;4,32;7,24;4,96;6,46;MANCHAS;
8;Sur;CBF-0858;M;52,44;15,42;21,84;22,8;32,16;21,08;10,14;11,84;19,2;22,32;6,3;3,02;3,12;7,1;4,36;5,1;PUNTOS;
9;Sur;CBF-01009;M;54,46;15,7;20,74;22,64;33,54;24,4;11,42;10,42;21,6;23,96;6,6;3,04;3,98;7,46;4,72;5,74;PUNTOS;
10;Sur;CBF-01010;M;55,6;15,72;21,6;23,24;32,98;21,54;11,24;11,22;20,54;23,24;6,62;3,08;3,36;7,82;4,74;7,18;PUNTOS;
11;Sur;CBF-01011;M;56,7;17,66;25,02;26,62;34,44;20,26;13,8;13,48;21,1;22,64;7,62;3,54;3,92;9,54;5,42;5,42;PUNTOS;
12;Sur;CBF-01103;H;51,38;16,5;22,08;23,82;33,2;19,72;11,02;13,14;18,42;19,02;6,6;3,68;3,58;8,12;4,74;4,6;MANCHAS;
13;Sur;CBF-01104;H;54,1;17,56;25,32;25,06;39,34;22,46;12,58;14,44;18,5;20,32;7,16;3,32;4,54;8,86;4,82;4,3;PUNTOS;
14;Sur;CBF-02166;H;52,82;16,5;21,54;23,14;38,24;22,3;11,82;13,24;19,72;21,42;6,74;3,52;3,38;6,18;4,28;4,48;PUNTOS;
15;Norte;CBF-02742;H;58,46;17,86;21,18;23,82;40,5;24,34;12,32;14,32;21,26;24,1;7,22;3,74;4,56;8,94;4,7;5,54;MANCHAS;
16;Norte;CBF-02743;H;58,72;17,52;23,2;23,2;39,3;28,04;11,39;14,72;21,78;23,56;7,36;3,68;3,92;8,74;4,46;5,5;MANCHAS;
17;Norte;CBF-02744;H;50,08;14,82;23,08;23,14;34,44;24,8;11,46;12,72;17,88;20,04;6,74;3,66;3,76;8,1;5,18;4,36;MANCHAS;
18;Norte;CBF-03224;H;59,82;15,92;25,42;24,26;36,76;22,24;12,44;13,44;18,12;23,2;7,24;4,18;3,86;7,78;4,9;4,88;PUNTOS;
19;Norte;CBF-03228;H;54,82;14,86;22,18;21,22;34,62;21,44;12,02;12,78;17,72;19,64;6,64;3,55;4,42;7,54;3,58;4,64;MANCHAS;
20;Sur;CBF-04078;M;49,58;15,62;25,34;22,84;30,68;20,76;11,24;12,72;12,52;19,26;6,22;3,02;3,04;7,1;4,44;4,34;PUNTOS;
21;Sur;CBF-04079;M;57,14;16,14;26,74;25,7;36,42;22,68;12,88;12,68;20,36;24,52;6,3;3,1;3,16;7,66;4,36;4,64;PUNTOS;
22;Sur;CBF-04080;M;54,52;15,36;26,06;23,73;37,36;21,12;12,16;12,56;17,66;22,24;6,8;3,48;3,46;7,28;4,22;4,28;PUNTOS;
23;Sur;CBF-04077;H;56,28;15,74;24,6;23,86;34,8;22,48;12,56;12,54;20,4;22,78;7,22;3,46;3,36;7,64;4,42;4,74;PUNTOS;
24;Sur;CBF-04082;M;50,8;12,36;27,8;25,64;41,22;24,38;12,78;12,64;21,18;24,26;7,46;3,52;4,34;7,68;4,88;5,36;MANCHAS;
25;Sur;CBF-04084;M;48,82;13,5;23,3;21,92;32,08;22,06;10,52;12,62;18,34;21,1;7,36;3,62;3,28;6,64;3,56;4,36;PUNTOS;
26;Norte;CBF-06266;M;52,02;16,52;27,3;24,6;31,94;25,54;12,62;12,54;19,74;22,24;6,64;3,22;3,78;7,36;3,92;4,68;MANCHAS;
27;Norte;CBF-06270;M;52,64;15,1;25,98;22,76;35,98;23,22;12,46;12,32;18,1;18,68;6,44;3,64;4,36;7,56;4,28;5,24;MANCHAS;
28;Norte;CBF-06272;H;54,92;12,62;23,42;23,34;35,3;19,34;11,62;18,7;19,16;21,46;7,52;3,28;3,6;8,04;3,72;4,52;PUNTOS;
29;Norte;CBF-06291;H;54,34;16,6;23,36;23,3;37,72;21,32;11,38;14,28;18,16;20,74;6,3;3,42;3,14;7,54;5,38;5,38;MANCHAS;
30;Norte;CBF-06293;H;64,36;17,62;29,16;27,42;46,4;21,82;13,3;17,04;22,76;24,32;7,64;3,62;4,64;8,64;5,68;5,76;MANCHAS;
31;Norte;CBF-06294;M;60,18;17,3;29,48;27,6;43,32;22,18;14,24;15,64;20,06;24,12;7,42;3,84;3,64;8,46;4,48;4,78;MANCHAS;
32;Sur;CBF-06295;M;49,66;14,34;20,04;20,08;30,8;22,74;9,6;13,08;16,68;18,04;6,28;3,08;3,48;6,64;3,64;4,62;PUNTOS;
33;Sur;CBF-06296;H;48,74;12,34;17,46;17,62;29,02;21,18;10,08;11,16;15,12;18,54;6,18;3,3;3,42;6,62;3,52;4,42;PUNTOS;
34;Sur;CBF-06297;H;48,76;14,06;18,54;18,72;29,8;22,22;9,06;10,56;15,42;18,46;6,42;3,32;3,74;7,68;7,24;4,28;PUNTOS;
35;Norte;CBF-05866;H;60,66;17,7;25,5;27,08;45,4;21,06;13,98;15,22;21,18;22,24;8,64;4,66;4,82;8,9;4,82;6,06;PUNTOS;
36;Norte;CBF-05889;H;53,06;14,62;24,58;24,22;36,94;24,72;11,2;12,38;17,54;20,62;8,22;3,9;3,78;7,92;4,04;5,32;PUNTOS;
37;Sur;CBF-06309;M;49,78;13,06;23,6;20,76;32,28;21,34;11,02;11,2;16,74;20,4;6,74;3,22;3,62;6,16;3,72;4,16;PUNTOS;
38;Sur;CBF-06310;H;56,76;15,68;25,3;22,04;36,6;24,18;12,16;12,68;19,66;22,26;6,9;3,24;3,56;9,02;3,78;4,92;PUNTOS;
39;Norte;CBF-06311;H;51,14;11,56;25,62;24,62;32,16;24,96;11,6;14,22;19,4;21,56;7,1;3,36;3,86;8,08;4,96;4,7;MANCHAS;
40;Sur;CBF-06718;M;45,8;14,1;23,22;22,64;34,84;22,5;11,8;11,68;17,92;19,78;6,22;3,42;3,76;6,92;3,62;4,34;PUNTOS;
41;Norte;CBF-06878;H;53,76;14,1;21,18;18,58;31,06;24,68;11,54;12,08;18,26;21,62;7,24;3,64;3,08;7,06;4,6;4,8;PUNTOS;
42;Norte;CBF-06880;M;50,46;15,2;19,28;21,26;36,16;20,74;11,18;11,42;18,84;21,42;6,44;3,1;3,66;7,76;4,6;4,74;MANCHAS;
43;Norte;CBF-06881;H;58,02;16,44;20,62;22,24;34,72;23,34;12,42;13,04;19,48;22,52;6,7;3,76;3,82;7,74;4,42;4,72;MANCHAS;
44;Norte;CBF-06885;H;55,26;16,6;21,54;22,56;37,08;25,76;12,34;13,34;20,12;22,58;7,08;3,6;3,88;7,4;4,08;4,84;PUNTOS;
45;Norte;CBF-06889;M;56,72;16,42;19,52;23,06;36,4;21,22;11,34;13,22;18,58;23,38;6,92;3,68;3,56;7,22;3,6;4,38;MANCHAS;
46;Norte;CBF-06890;H;71,06;21,02;30,16;31,56;49,58;29,46;17,54;16,66;27,6;33,16;7,66;4,24;5,94;10,06;4,94;6,48;PUNTOS;
47;Norte;CBF-06891;M;58,94;16,02;22,16;22,92;35,6;25,88;14,56;12,64;21,4;24,52;6,84;3,84;4,36;8,44;4,66;5,9;MANCHAS;
